Water (400mA 10ms)

Labels,Decay60,Decay60F1,Decay60F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.01E07,1.01E07,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

3.94E07,8.748E+3,8.726E+3,2.404E-1,
3.95E07,8.758E+3,8.681E+3,8.207E-1,
3.96E07,8.751E+3,8.637E+3,1.216E+0,
3.97E07,8.628E+3,8.594E+3,3.703E-1,
3.98E07,8.520E+3,8.550E+3,-3.287E-1,
3.99E07,8.455E+3,8.507E+3,-5.701E-1,
4E07,8.489E+3,8.465E+3,2.622E-1,
4.01E07,8.377E+3,8.423E+3,-4.983E-1,
4.02E07,8.358E+3,8.381E+3,-2.485E-1,
4.03E07,8.303E+3,8.339E+3,-3.968E-1,
4.04E07,8.329E+3,8.298E+3,3.404E-1,
4.05E07,8.282E+3,8.257E+3,2.743E-1,
4.06E07,8.134E+3,8.216E+3,-9.145E-1,
4.07E07,8.299E+3,8.176E+3,1.348E+0,
4.08E07,7.975E+3,8.136E+3,-1.806E+0,
4.09E07,8.188E+3,8.097E+3,1.009E+0,
4.1E07,8.142E+3,8.057E+3,9.371E-1,
4.11E07,8.066E+3,8.018E+3,5.291E-1,
4.12E07,8.109E+3,7.980E+3,1.434E+0,
4.13E07,8.005E+3,7.941E+3,7.098E-1,
4.14E07,7.939E+3,7.903E+3,3.989E-1,
4.15E07,7.833E+3,7.866E+3,-3.699E-1,
4.16E07,7.852E+3,7.828E+3,2.674E-1,
4.17E07,7.661E+3,7.791E+3,-1.487E+0,
4.18E07,7.851E+3,7.754E+3,1.091E+0,
4.19E07,7.543E+3,7.718E+3,-2.013E+0,
4.2E07,7.798E+3,7.682E+3,1.318E+0,
4.21E07,7.704E+3,7.646E+3,6.648E-1,
4.22E07,7.720E+3,7.610E+3,1.252E+0,
4.23E07,7.520E+3,7.575E+3,-6.299E-1,
4.24E07,7.652E+3,7.540E+3,1.286E+0,
4.25E07,7.474E+3,7.505E+3,-3.554E-1,
4.26E07,7.515E+3,7.470E+3,5.168E-1,
4.27E07,7.394E+3,7.436E+3,-4.879E-1,
4.28E07,7.397E+3,7.402E+3,-5.790E-2,
4.29E07,7.218E+3,7.368E+3,-1.769E+0,
4.3E07,7.253E+3,7.335E+3,-9.611E-1,
4.31E07,7.171E+3,7.302E+3,-1.543E+0,
4.32E07,7.248E+3,7.269E+3,-2.442E-1,
4.33E07,7.328E+3,7.236E+3,1.073E+0,
4.34E07,7.191E+3,7.204E+3,-1.508E-1,
4.35E07,7.080E+3,7.172E+3,-1.090E+0,
4.36E07,7.283E+3,7.140E+3,1.678E+0,
4.37E07,7.183E+3,7.108E+3,8.822E-1,
4.38E07,7.114E+3,7.077E+3,4.400E-1,
4.39E07,7.089E+3,7.046E+3,5.131E-1,
4.4E07,6.984E+3,7.015E+3,-3.704E-1,
4.41E07,7.089E+3,6.984E+3,1.243E+0,
4.42E07,6.933E+3,6.954E+3,-2.523E-1,
