Air (400mA)

Labels,Decay49,Decay49F1,Decay49F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.1E06,1.1E06,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

2.69E07,4.281E+3,4.236E+3,6.937E-1,
2.7E07,4.265E+3,4.227E+3,5.861E-1,
2.71E07,4.224E+3,4.218E+3,9.366E-2,
2.72E07,4.220E+3,4.209E+3,1.667E-1,
2.73E07,4.281E+3,4.200E+3,1.230E+0,
2.74E07,4.321E+3,4.192E+3,1.964E+0,
2.75E07,4.186E+3,4.183E+3,4.069E-2,
2.76E07,4.222E+3,4.175E+3,7.248E-1,
2.77E07,4.125E+3,4.167E+3,-6.463E-1,
2.78E07,4.215E+3,4.158E+3,8.751E-1,
2.79E07,4.198E+3,4.150E+3,7.419E-1,
2.8E07,4.047E+3,4.142E+3,-1.489E+0,
2.81E07,4.111E+3,4.134E+3,-3.527E-1,
2.82E07,4.147E+3,4.126E+3,3.330E-1,
2.83E07,4.100E+3,4.118E+3,-2.743E-1,
2.84E07,4.101E+3,4.110E+3,-1.348E-1,
2.85E07,4.156E+3,4.102E+3,8.412E-1,
2.86E07,4.073E+3,4.094E+3,-3.286E-1,
2.87E07,4.087E+3,4.086E+3,1.200E-2,
2.88E07,4.116E+3,4.079E+3,5.836E-1,
2.89E07,4.160E+3,4.071E+3,1.381E+0,
2.9E07,4.067E+3,4.063E+3,5.651E-2,
2.91E07,4.061E+3,4.056E+3,7.991E-2,
2.92E07,4.023E+3,4.048E+3,-4.017E-1,
2.93E07,3.993E+3,4.041E+3,-7.614E-1,
2.94E07,3.982E+3,4.034E+3,-8.209E-1,
2.95E07,3.976E+3,4.027E+3,-8.017E-1,
2.96E07,4.008E+3,4.019E+3,-1.795E-1,
2.97E07,3.980E+3,4.012E+3,-5.109E-1,
2.98E07,4.117E+3,4.005E+3,1.743E+0,
2.99E07,4.091E+3,3.998E+3,1.452E+0,
3E07,4.038E+3,3.991E+3,7.368E-1,
3.01E07,4.033E+3,3.984E+3,7.672E-1,
3.02E07,4.051E+3,3.977E+3,1.156E+0,
3.03E07,4.011E+3,3.971E+3,6.373E-1,
3.04E07,3.953E+3,3.964E+3,-1.734E-1,
3.05E07,4.007E+3,3.957E+3,7.864E-1,
3.06E07,4.035E+3,3.951E+3,1.329E+0,
3.07E07,3.936E+3,3.944E+3,-1.278E-1,
3.08E07,3.967E+3,3.937E+3,4.684E-1,
3.09E07,3.842E+3,3.931E+3,-1.436E+0,
3.1E07,3.888E+3,3.925E+3,-5.872E-1,
3.11E07,3.926E+3,3.918E+3,1.237E-1,
3.12E07,3.948E+3,3.912E+3,5.739E-1,
3.13E07,4.033E+3,3.906E+3,2.005E+0,
3.14E07,3.919E+3,3.899E+3,3.120E-1,
3.15E07,3.912E+3,3.893E+3,2.988E-1,
3.16E07,3.870E+3,3.887E+3,-2.765E-1,
3.17E07,3.953E+3,3.881E+3,1.143E+0,
3.18E07,3.907E+3,3.875E+3,5.099E-1,
3.19E07,3.838E+3,3.869E+3,-5.031E-1,
3.2E07,3.845E+3,3.863E+3,-2.944E-1,
3.21E07,3.878E+3,3.857E+3,3.310E-1,
3.22E07,3.907E+3,3.852E+3,8.868E-1,
3.23E07,3.755E+3,3.846E+3,-1.482E+0,
3.24E07,3.891E+3,3.840E+3,8.164E-1,
3.25E07,3.934E+3,3.834E+3,1.588E+0,
3.26E07,3.795E+3,3.829E+3,-5.481E-1,
3.27E07,3.834E+3,3.823E+3,1.748E-1,
3.28E07,3.798E+3,3.818E+3,-3.186E-1,
3.29E07,3.834E+3,3.812E+3,3.530E-1,
3.3E07,3.854E+3,3.807E+3,7.621E-1,
3.31E07,3.810E+3,3.801E+3,1.412E-1,
3.32E07,3.785E+3,3.796E+3,-1.775E-1,
3.33E07,3.803E+3,3.791E+3,2.011E-1,
3.34E07,3.731E+3,3.785E+3,-8.893E-1,
3.35E07,3.779E+3,3.780E+3,-1.771E-2,
3.36E07,3.692E+3,3.775E+3,-1.364E+0,
3.37E07,3.775E+3,3.770E+3,8.548E-2,
3.38E07,3.848E+3,3.765E+3,1.344E+0,
3.39E07,3.830E+3,3.760E+3,1.138E+0,
3.4E07,3.744E+3,3.755E+3,-1.724E-1,
3.41E07,3.719E+3,3.750E+3,-5.012E-1,
3.42E07,3.797E+3,3.745E+3,8.500E-1,
3.43E07,3.717E+3,3.740E+3,-3.726E-1,
3.44E07,3.700E+3,3.735E+3,-5.730E-1,
3.45E07,3.828E+3,3.730E+3,1.583E+0,
3.46E07,3.718E+3,3.725E+3,-1.188E-1,
3.47E07,3.744E+3,3.720E+3,3.841E-1,
3.48E07,3.791E+3,3.716E+3,1.222E+0,
3.49E07,3.667E+3,3.711E+3,-7.286E-1,
3.5E07,3.702E+3,3.706E+3,-7.376E-2,
3.51E07,3.680E+3,3.702E+3,-3.609E-1,
3.52E07,3.805E+3,3.697E+3,1.745E+0,
3.53E07,3.663E+3,3.693E+3,-4.926E-1,
3.54E07,3.637E+3,3.688E+3,-8.512E-1,
3.55E07,3.696E+3,3.684E+3,1.993E-1,
3.56E07,3.597E+3,3.679E+3,-1.375E+0,
3.57E07,3.629E+3,3.675E+3,-7.652E-1,
3.58E07,3.624E+3,3.671E+3,-7.767E-1,
3.59E07,3.642E+3,3.666E+3,-4.052E-1,
3.6E07,3.634E+3,3.662E+3,-4.675E-1,
3.61E07,3.765E+3,3.658E+3,1.745E+0,
3.62E07,3.670E+3,3.654E+3,2.683E-1,
3.63E07,3.638E+3,3.650E+3,-1.920E-1,
3.64E07,3.614E+3,3.645E+3,-5.231E-1,
3.65E07,3.652E+3,3.641E+3,1.762E-1,
3.66E07,3.704E+3,3.637E+3,1.096E+0,
3.67E07,3.498E+3,3.633E+3,-2.287E+0,
3.68E07,3.605E+3,3.629E+3,-4.039E-1,
3.69E07,3.623E+3,3.625E+3,-3.791E-2,
3.7E07,3.580E+3,3.621E+3,-6.910E-1,
3.71E07,3.541E+3,3.617E+3,-1.285E+0,
3.72E07,3.654E+3,3.614E+3,6.688E-1,
3.73E07,3.609E+3,3.610E+3,-1.213E-2,
3.74E07,3.683E+3,3.606E+3,1.270E+0,
3.75E07,3.630E+3,3.602E+3,4.624E-1,
3.76E07,3.678E+3,3.598E+3,1.313E+0,
3.77E07,3.558E+3,3.595E+3,-6.148E-1,
3.78E07,3.550E+3,3.591E+3,-6.879E-1,
3.79E07,3.681E+3,3.587E+3,1.544E+0,
3.8E07,3.617E+3,3.584E+3,5.537E-1,
3.81E07,3.584E+3,3.580E+3,6.510E-2,
3.82E07,3.643E+3,3.577E+3,1.101E+0,
3.83E07,3.612E+3,3.573E+3,6.490E-1,
3.84E07,3.608E+3,3.569E+3,6.413E-1,
3.85E07,3.569E+3,3.566E+3,5.025E-2,
3.86E07,3.681E+3,3.563E+3,1.952E+0,
3.87E07,3.595E+3,3.559E+3,5.985E-1,
