Water (400mA 1ms)

Labels,Decay63,Decay63F1,Decay63F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.1E06,1.1E06,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

3.57E07,3.692E+3,3.677E+3,2.420E-1,
3.58E07,3.844E+3,3.673E+3,2.756E+0,
3.59E07,3.709E+3,3.669E+3,6.561E-1,
3.6E07,3.667E+3,3.665E+3,3.353E-2,
3.61E07,3.676E+3,3.661E+3,2.486E-1,
3.62E07,3.559E+3,3.657E+3,-1.641E+0,
3.63E07,3.642E+3,3.653E+3,-1.814E-1,
3.64E07,3.661E+3,3.649E+3,1.983E-1,
3.65E07,3.640E+3,3.645E+3,-8.444E-2,
3.66E07,3.708E+3,3.641E+3,1.097E+0,
3.67E07,3.715E+3,3.637E+3,1.274E+0,
3.68E07,3.608E+3,3.634E+3,-4.255E-1,
3.69E07,3.568E+3,3.630E+3,-1.034E+0,
3.7E07,3.682E+3,3.626E+3,9.225E-1,
3.71E07,3.619E+3,3.622E+3,-5.493E-2,
3.72E07,3.671E+3,3.619E+3,8.646E-1,
3.73E07,3.709E+3,3.615E+3,1.544E+0,
3.74E07,3.622E+3,3.611E+3,1.773E-1,
3.75E07,3.617E+3,3.608E+3,1.542E-1,
3.76E07,3.606E+3,3.604E+3,3.068E-2,
3.77E07,3.577E+3,3.601E+3,-3.949E-1,
3.78E07,3.612E+3,3.597E+3,2.478E-1,
3.79E07,3.641E+3,3.594E+3,7.851E-1,
3.8E07,3.626E+3,3.590E+3,5.950E-1,
3.81E07,3.634E+3,3.587E+3,7.839E-1,
3.82E07,3.560E+3,3.583E+3,-3.913E-1,
3.83E07,3.692E+3,3.580E+3,1.844E+0,
3.84E07,3.539E+3,3.577E+3,-6.327E-1,
3.85E07,3.581E+3,3.573E+3,1.282E-1,
3.86E07,3.692E+3,3.570E+3,2.007E+0,
3.87E07,3.545E+3,3.567E+3,-3.658E-1,
3.88E07,3.596E+3,3.564E+3,5.412E-1,
3.89E07,3.496E+3,3.560E+3,-1.088E+0,
3.9E07,3.455E+3,3.557E+3,-1.738E+0,
3.91E07,3.626E+3,3.554E+3,1.196E+0,
3.92E07,3.557E+3,3.551E+3,1.026E-1,
3.93E07,3.568E+3,3.548E+3,3.385E-1,
3.94E07,3.655E+3,3.545E+3,1.824E+0,
3.95E07,3.463E+3,3.542E+3,-1.337E+0,
3.96E07,3.611E+3,3.539E+3,1.204E+0,
3.97E07,3.596E+3,3.536E+3,1.007E+0,
3.98E07,3.491E+3,3.533E+3,-7.050E-1,
3.99E07,3.520E+3,3.530E+3,-1.635E-1,
4E07,3.550E+3,3.527E+3,3.898E-1,
4.01E07,3.507E+3,3.524E+3,-2.849E-1,
4.02E07,3.616E+3,3.521E+3,1.580E+0,
4.03E07,3.459E+3,3.518E+3,-1.006E+0,
4.04E07,3.602E+3,3.515E+3,1.445E+0,
4.05E07,3.548E+3,3.512E+3,5.960E-1,
4.06E07,3.519E+3,3.510E+3,1.566E-1,
4.07E07,3.527E+3,3.507E+3,3.376E-1,
4.08E07,3.434E+3,3.504E+3,-1.198E+0,
4.09E07,3.436E+3,3.501E+3,-1.117E+0,
4.1E07,3.548E+3,3.499E+3,8.260E-1,
4.11E07,3.496E+3,3.496E+3,-2.131E-3,
4.12E07,3.498E+3,3.493E+3,7.650E-2,
4.13E07,3.461E+3,3.491E+3,-5.073E-1,
4.14E07,3.492E+3,3.488E+3,6.363E-2,
4.15E07,3.415E+3,3.486E+3,-1.209E+0,
4.16E07,3.458E+3,3.483E+3,-4.267E-1,
4.17E07,3.399E+3,3.481E+3,-1.399E+0,
4.18E07,3.417E+3,3.478E+3,-1.044E+0,
4.19E07,3.361E+3,3.476E+3,-1.975E+0,
4.2E07,3.487E+3,3.473E+3,2.364E-1,
4.21E07,3.492E+3,3.471E+3,3.624E-1,
4.22E07,3.396E+3,3.468E+3,-1.238E+0,
4.23E07,3.493E+3,3.466E+3,4.615E-1,
4.24E07,3.435E+3,3.463E+3,-4.832E-1,
4.25E07,3.449E+3,3.461E+3,-2.033E-1,
4.26E07,3.485E+3,3.459E+3,4.475E-1,
4.27E07,3.415E+3,3.456E+3,-7.057E-1,
4.28E07,3.462E+3,3.454E+3,1.374E-1,
4.29E07,3.495E+3,3.452E+3,7.339E-1,
4.3E07,3.586E+3,3.449E+3,2.282E+0,
4.31E07,3.467E+3,3.447E+3,3.385E-1,
