Water (400mA)

Labels,Decay36,Decay36F1,Decay36F1R,
Type,Time Scan,Exponential Fit Time Scan,Weighted Residuals Time Scan,
Comment,,,,
Start,0.00,1.1E06,1.1E06,
Stop,99900008.000000,99900008.000000,99900008.000000,
Step,1E05,1E05,1E05,
Fixed/Offset, , , ,
XAxis,Time,Time,Time,
YAxis,Counts,Counts,Counts,

3.95E07,3.286E+3,3.315E+3,-5.051E-1,
3.96E07,3.315E+3,3.313E+3,3.495E-2,
3.97E07,3.296E+3,3.311E+3,-2.619E-1,
3.98E07,3.390E+3,3.309E+3,1.389E+0,
3.99E07,3.342E+3,3.307E+3,6.022E-1,
4E07,3.314E+3,3.305E+3,1.514E-1,
4.01E07,3.229E+3,3.303E+3,-1.309E+0,
4.02E07,3.322E+3,3.302E+3,3.552E-1,
4.03E07,3.341E+3,3.300E+3,7.150E-1,
4.04E07,3.207E+3,3.298E+3,-1.604E+0,
4.05E07,3.330E+3,3.296E+3,5.891E-1,
4.06E07,3.322E+3,3.294E+3,4.825E-1,
4.07E07,3.326E+3,3.292E+3,5.827E-1,
4.08E07,3.291E+3,3.291E+3,6.724E-3,
4.09E07,3.315E+3,3.289E+3,4.542E-1,
4.1E07,3.336E+3,3.287E+3,8.467E-1,
4.11E07,3.233E+3,3.285E+3,-9.208E-1,
4.12E07,3.288E+3,3.284E+3,7.616E-2,
4.13E07,3.339E+3,3.282E+3,9.878E-1,
4.14E07,3.276E+3,3.280E+3,-7.386E-2,
4.15E07,3.278E+3,3.279E+3,-9.522E-3,
4.16E07,3.197E+3,3.277E+3,-1.413E+0,
4.17E07,3.320E+3,3.275E+3,7.771E-1,
4.18E07,3.287E+3,3.274E+3,2.340E-1,
4.19E07,3.366E+3,3.272E+3,1.621E+0,
4.2E07,3.418E+3,3.270E+3,2.526E+0,
4.21E07,3.361E+3,3.269E+3,1.591E+0,
4.22E07,3.376E+3,3.267E+3,1.873E+0,
4.23E07,3.301E+3,3.266E+3,6.166E-1,
