Labels	no pinhole	
Type	Time Scan	
Comment		
Start	0.00	
Stop	99975008.000000	
Step	2.5E04	
Fixed/Offset	 	
XAxis	Time	
YAxis	Counts	

1.935E007	2.530E+3	
1.9375E0007	2.462E+3	
1.94E07	2.464E+3	
1.9425E0007	2.483E+3	
1.945E007	2.455E+3	
1.9475E0007	2.429E+3	
1.95E07	2.458E+3	
1.9525E0007	2.438E+3	
1.955E007	2.427E+3	
1.9575E0007	2.379E+3	
1.96E07	2.503E+3	
1.9625E0007	2.392E+3	
1.965E007	2.457E+3	
1.9675E0007	2.391E+3	
1.97E07	2.418E+3	
1.9725E0007	2.467E+3	
1.975E007	2.372E+3	
1.9775E0007	2.417E+3	
1.98E07	2.394E+3	
1.9825E0007	2.424E+3	
1.985E007	2.360E+3	
1.9875E0007	2.377E+3	
1.99E07	2.338E+3	
1.9925E0007	2.439E+3	
1.995E007	2.451E+3	
1.9975E0007	2.361E+3	
2E07	2.383E+3	
2.0025E0007	2.403E+3	
2.005E007	2.353E+3	
2.0075E0007	2.301E+3	
2.01E07	2.316E+3	
2.0125E0007	2.331E+3	
2.015E007	2.408E+3	
2.0175E0007	2.336E+3	
2.02E07	2.307E+3	
2.0225E0007	2.375E+3	
2.025E007	2.228E+3	
2.0275E0007	2.346E+3	
2.03E07	2.283E+3	
2.0325E0007	2.265E+3	
2.035E007	2.238E+3	
2.0375E0007	2.251E+3	
2.04E07	2.290E+3	
2.0425E0007	2.240E+3	
2.045E007	2.247E+3	
2.0475E0007	2.384E+3	
2.05E07	2.215E+3	
2.0525E0007	2.207E+3	
2.055E007	2.320E+3	
2.0575E0007	2.257E+3	
2.06E07	2.213E+3	
2.0625E0007	2.256E+3	
2.065E007	2.257E+3	
2.0675E0007	2.303E+3	
2.07E07	2.321E+3	
2.0725E0007	2.254E+3	
2.075E007	2.275E+3	
2.0775E0007	2.217E+3	
2.08E07	2.242E+3	
2.0825E0007	2.266E+3	
2.085E007	2.198E+3	
